1,1813
5,1827
1,1881
1,1921
3,1949
3,2043
1,2085
1,2179
2,2211
5,2273
1,2279
1,2327
1,2417
2,2427
1,2467
1,2591
1,2679
5,2701
1,2739
1,2851
3,2945
2,3037
2,3105
1,3137
1,3187
1,3247
5,3835
5,3855
5,3897
2,4247
2,4625
3,5367
2,5545
2,5691
5,6099
2,6635
2,6679
2,7385
2,7979
3,8225
3,8491
5,8897
5,9031
2,9499
2,10091
3,10249
2,11143
5,11211
5,14087
3,14121
5,14791
3,14967
3,16779
3,16917
5,19767
5,21431
3,21887
3,26473
5,26931
2,27363
5,28055
3,31017
5,31773
5,33737
3,35825
5,36081
3,39697
****108
